Features,Algoritmo,Parametro,Checks,Eficiencia,Efectividad
DeepNet,kdTreeResults,10,1,0.0005654370685649701,0.059872505312278654
DeepNet,kdTreeResults,30,1,0.0013256239459057534,0.0583725678096746
DeepNet,kdTreeResults,50,1,0.0021051298889117474,0.058580892462814046
DeepNet,kdTreeResults,10,1000,0.04482459955683127,0.9022540727469689
DeepNet,kdTreeResults,30,1000,0.05860866459890019,0.9175034373567768
DeepNet,kdTreeResults,50,1000,0.05969786829526608,0.9227323861505771
DeepNet,kdTreeResults,10,125,0.005068548215728634,0.5478730052914462
DeepNet,kdTreeResults,30,125,0.007092776829829382,0.5816007666347236
DeepNet,kdTreeResults,50,125,0.007318641546726904,0.5924128161326612
DeepNet,kdTreeResults,10,25,0.0013602891168394869,0.2953418607558018
DeepNet,kdTreeResults,30,25,0.002146314789727224,0.3216532644473147
DeepNet,kdTreeResults,50,25,0.0027477711167936967,0.3191533686096413
DeepNet,kdTreeResults,10,5,0.0005852866560813534,0.1498479230032082
DeepNet,kdTreeResults,30,5,0.0014739392012340364,0.15226448897962586
DeepNet,kdTreeResults,50,5,0.0022412702631043275,0.15461855756010165
DeepNet,kdTreeResults,10,625,0.026986553112023286,0.8371942835715178
DeepNet,kdTreeResults,30,625,0.04002969676103265,0.8617974251072872
DeepNet,kdTreeResults,50,625,0.03607902688157593,0.8711928669638765
DeepNet,KmeansResults,25,1,0.002088219339530975,0.26832215324361486
DeepNet,KmeansResults,50,1,0.0033013832369651963,0.3092787800508312
DeepNet,KmeansResults,75,1,0.003949549300883298,0.3179242531561185
DeepNet,KmeansResults,25,1000,0.10491833240886593,0.9603766509728762
DeepNet,KmeansResults,50,1000,0.08465455880988881,0.9114828548810466
DeepNet,KmeansResults,75,1000,0.07556266649757702,0.8823590683721512
DeepNet,KmeansResults,25,125,0.018969862555898123,0.6679096704303987
DeepNet,KmeansResults,50,125,0.015125009956297624,0.6115578517561768
DeepNet,KmeansResults,75,125,0.018633248425824745,0.6002041581600767
DeepNet,KmeansResults,25,25,0.0059132197056208195,0.45131452856130994
DeepNet,KmeansResults,50,25,0.0054909004981389155,0.4012332819465856
DeepNet,KmeansResults,75,25,0.0064425826113031805,0.4026707220532478
DeepNet,KmeansResults,25,5,0.002658736717094706,0.2932377817590934
DeepNet,KmeansResults,50,5,0.004244078892089335,0.34796466813882754
DeepNet,KmeansResults,75,5,0.004258306403280137,0.34063164034831883
DeepNet,KmeansResults,25,625,0.07587964867316276,0.9047539685846423
DeepNet,KmeansResults,50,625,0.04768995601299786,0.8115495187700512
DeepNet,KmeansResults,75,625,0.06035205730364168,0.81354943544019
MEL,kdTreeResults,10,1,0.002577609613868788,0.047373026123911505
MEL,kdTreeResults,30,1,0.006664865916303801,0.048039665013957754
MEL,kdTreeResults,50,1,0.014433330593582636,0.0484771467855506
MEL,kdTreeResults,10,1000,0.11934127193159275,0.9786467230532061
MEL,kdTreeResults,30,1000,0.18926979087021337,0.9880838298404233
MEL,kdTreeResults,50,1000,0.19883228682467577,0.9896254322736553
MEL,kdTreeResults,10,125,0.016625837183277,0.7541977417607599
MEL,kdTreeResults,30,125,0.030959971534283273,0.8028623807341361
MEL,kdTreeResults,50,125,0.02745927577704162,0.8166118078413399
MEL,kdTreeResults,10,25,0.004858857694349515,0.4370651222865714
MEL,kdTreeResults,30,25,0.007865802428425264,0.4799383359026707
MEL,kdTreeResults,50,25,0.011382906010005517,0.477917586767218
MEL,kdTreeResults,10,5,0.0028003129369169543,0.17615932669472106
MEL,kdTreeResults,30,5,0.006963876537476124,0.1729511270363735
MEL,kdTreeResults,50,5,0.012658636477229613,0.17249281279946668
MEL,kdTreeResults,10,625,0.07606058486182504,0.95664763968168
MEL,kdTreeResults,30,625,0.11378902288467882,0.9722511562018249
MEL,kdTreeResults,50,625,0.12075217077551492,0.9770634556893463
MEL,KmeansResults,25,1,0.003112241548520548,0.26782217407608017
MEL,KmeansResults,50,1,0.0041075345089261195,0.321924086496396
MEL,KmeansResults,75,1,0.004669117519298385,0.31292446148077163
MEL,KmeansResults,25,1000,0.10077283920620658,0.9850006249739595
MEL,KmeansResults,50,1000,0.06488559684304729,0.9746677221782426
MEL,KmeansResults,75,1000,0.06465175732135148,0.9763551518686722
MEL,KmeansResults,25,125,0.0151082343813988,0.7762593225282279
MEL,KmeansResults,50,125,0.011275901153437014,0.6644098162576559
MEL,KmeansResults,75,125,0.012806383595923326,0.7215949335444356
MEL,KmeansResults,25,25,0.005020835547421042,0.4988125494771051
MEL,KmeansResults,50,25,0.0051070370999198225,0.4136910962043248
MEL,KmeansResults,75,25,0.005760798335230638,0.44398150077080123
MEL,KmeansResults,25,5,0.0030235000577341843,0.31654931044539814
MEL,KmeansResults,50,5,0.00418207181521224,0.3407149702095746
MEL,KmeansResults,75,5,0.004654848435097412,0.32615307695512685
MEL,KmeansResults,25,625,0.06141300265622087,0.9646681388275489
MEL,KmeansResults,50,625,0.0457833876790644,0.9483563184867297
MEL,KmeansResults,75,625,0.04231837790726396,0.9465022290737886
SIFT,kdTreeResults,10,1,0.0017042940461595038,0.09789175451022875
SIFT,kdTreeResults,30,1,0.0042282559800124846,0.09564184825632266
SIFT,kdTreeResults,50,1,0.00779240398572691,0.09203783175701012
SIFT,kdTreeResults,10,1000,0.08366783548672163,0.9755010207908004
SIFT,kdTreeResults,30,1000,0.13507100742446174,0.9840423315695179
SIFT,kdTreeResults,50,1000,0.13807326814225285,0.9861464105662264
SIFT,kdTreeResults,10,125,0.011343595812307171,0.8045289779592517
SIFT,kdTreeResults,30,125,0.017510265379349126,0.8556518478396733
SIFT,kdTreeResults,50,125,0.020230300869339152,0.8575892671138703
SIFT,kdTreeResults,10,25,0.0031046802202139563,0.5302904045664764
SIFT,kdTreeResults,30,25,0.006092672962788871,0.5887671347027207
SIFT,kdTreeResults,50,25,0.007444719548679149,0.5889754593558602
SIFT,kdTreeResults,10,5,0.0017249689659843985,0.2684888129661264
SIFT,kdTreeResults,30,5,0.004820885686666656,0.2607808007999667
SIFT,kdTreeResults,50,5,0.006408213522884396,0.27032206991375357
SIFT,kdTreeResults,10,625,0.05096664401567126,0.9545643931502854
SIFT,kdTreeResults,30,625,0.07611874920785447,0.9711470355401858
SIFT,kdTreeResults,50,625,0.08502505713739318,0.9738760884963127
SIFT,KmeansResults,25,1,0.0034228034397577704,0.37365109787092204
SIFT,KmeansResults,50,1,0.0034827796142663037,0.42516978459230864
SIFT,KmeansResults,75,1,0.004294461724027981,0.38335902670722055
SIFT,KmeansResults,25,1000,0.11510767752417476,0.99160451647848
SIFT,KmeansResults,50,1000,0.05869909911536682,0.965772259489188
SIFT,KmeansResults,75,1000,0.08156539866001414,0.9838340069163785
SIFT,KmeansResults,25,125,0.01664241773600073,0.8198200074996875
SIFT,KmeansResults,50,125,0.00995624768281845,0.749989583767343
SIFT,KmeansResults,75,125,0.01437437883629209,0.8050914545227282
SIFT,KmeansResults,25,25,0.005636924206893936,0.6076205158118412
SIFT,KmeansResults,50,25,0.0044129970214081375,0.5136869297112621
SIFT,KmeansResults,75,25,0.005871887741379834,0.5657264280654972
SIFT,KmeansResults,25,5,0.0034651590547096853,0.4209616265988917
SIFT,KmeansResults,50,5,0.003465659993183806,0.4438356735136036
SIFT,KmeansResults,75,5,0.004304295321700895,0.44206491396191827
SIFT,KmeansResults,25,625,0.0628905741264818,0.9696679305028957
SIFT,KmeansResults,50,625,0.03789277552692021,0.934919378359235
SIFT,KmeansResults,75,625,0.0432718548112049,0.964230657055956
